name,address,city,state,zip,total_units, Price/Unit ,net_operating_income,cap_rate,asking_price,opportunity_zone,longitude,latitude
Pebble Gardens Mobile Home Community,3600 N Montana Ave,Helena,MT,59602,41,"$91,071 ","$126,865.00 ",2.49%,"$5,100,000.00 ",No,-112.023809,46.62477
757 County Road 308,757 Co Rd 308,Downieville-Lawson-Dumont,CO,80436,6,"$141,667 ","$67,332.00 ",7.92%,"$850,000.00 ",No,-105.6101349,39.76554354
Corral RV Park,1402 S Cherry St,Tomball,TX,77375,209,,"$1,001,000.00 ",6.81%,"$14,700,000.00 ",No,-95.6120267,30.0831601
"10295 HWY 550 Lybrook, NM",10295 US-550,Cuba,NM,87013,,,,,"$199,900.00 ",No,-107.5471876,36.2289897
Horspen Creek Mobile Home Park,15813 N 113th E Ave,Collinsville,OK,74021,34,"$13,971 ",,,"$475,000.00 ",No,-95.8472533,36.3858918
Elms Mobile Home and RV Park,2203 S Lincoln Ave,York,NE,68467,41,,"$79,454.00 ",9.35%,"$850,000.00 ",No,-97.59746606,40.84216842
Woods of Coloma - Mobile HomeTrailer Park,W12888 Curlew Ct,Coloma,WI,54930,18,"$36,333 ","$58,859.00 ",9.00%,"$654,000.00 ",No,-89.521488,44.019342
Lexie Ln Lot WP001,Lexie Ln Lot WP001,Front Royal,VA,22630,24,,,,"$2,700,000.00 ",No,-78.227251,38.9547665
Thomas Crossings,1723 Cranberry Lake Cir,Saginaw,MI,48609,,,,,"$5,750,000.00 ",No,-84.0700017,43.3981766
"3915 Schillinger Rd S, Mobile, AL 36619",3915 Schillinger Rd S,Mobile,AL,36619,,,,,"$399,459.00 ",No,-88.22493189,30.60918988
11 Acres with 4500sqft Building - Potential MHP or RV Park,2298 Johnson Road,Townsend,GA,31331,,,,,"$629,000.00 ",No,-81.37125294,31.5245605
Sunrise Mobile Home Park - Anderson CA,7025 Eastside Rd,Anderson,CA,96007,16,"$71,875 ","$106,273.00 ",9.24%,"$1,150,000.00 ",No,-122.3575835,40.4906362
SELLER DESIRES 1231 COE. CALL FOR OFFERS BY 10212024,815 Sky Rd,Indian Springs,NV,89018,114,"$26,316 ","$121,000.00 ",4.03%,"$3,000,000.00 ",No,NA,NA
22 Space8 CAP on Current 85 Occupancy,106 McCord Ave,Bakersfield,CA,93308,22,"$39,773 ","$72,160.00 ",8.25%,"$875,000.00 ",Yes,-119.0217128,35.4070742
D  R Mobile Home Park,5234 Platt Springs Rd,Lexington,SC,29073,11,,"$66,000.00 ",7.95%,"$830,000.00 ",No,-81.20702474,33.90940439
St James MHC,166 Appaloosa Trail,Corbin,KY,40701,,,,,,No,-84.092961,36.9757366
17-34 AC 6721 HWY 30,6721 SH 30,Anderson,TX,77830,,,,,,No,-96.08966252,30.59493354
Suburban East RV Park,5700 Cedar Rd,Big Spring,TX,79720,133,,,,"$3,250,000.00 ",No,-101.4836862,32.2347099
Trail Acres MHP,550 Smith Ave,Du Quoin,IL,62832,17,"$17,647 ","$3,809.00 ",1.27%,"$300,000.00 ",No,-89.2309156,38.0198008
0 State Hwy 78,OK-78,Durant,OK,74701,32,,,,"$999,000.00 ",No,-96.3764088,33.9907333
2588 134th Ave NW,2588 134th Ave NW,Arnegard,ND,58835,3,,,,"$595,000.00 ",No,-103.4387176,47.7849482
5 Pad MHP off HWY 29 in Greer 29651,104 Belk Ct,Greer,SC,29651,4,,"$32,340.00 ",9.54%,"$339,000.00 ",No,-82.2043677,34.9472732
Prime Warehouse Facility,15047 Sheila Ann Dr,Hudson,FL,34669,3,"$223,333 ",,,"$670,000.00 ",No,-82.6068757,28.3771795
Cedar Hills Mobile Home Park,49 Cedar Hills Rd,Midway,AR,72651,,,,7.90%,"$800,000.00 ",No,-92.4990635,36.3926342
"RV Camp 14 Acres, 5,000 Sq Ft Flex Use Building",12606 Holt Peterson Rd,Cottondale,AL,35453,,,,,"$475,000.00 ",No,-87.43493333,33.23598811
Pittsburgh MHC Portfolio,"600 Laurel View Dr.  Mount Pleasant, PA",Mount Pleasant,PA,15666,386,,,,,No,-79.54503957,40.09834763
Mobile Home PARK Trinity with House and 5 Acres,14669 FM356,Trinity,TX,75862,,"$91,667 ",,,"$550,000.00 ",Yes,-95.177984,30.848929
Rosepine and Diboll Storage Portfolio,503 1st St N,Diboll,TX,75941,117,"$6,838 ","$62,822.00 ",7.85%,"$800,000.00 ",Yes,NA,NA
1505 Co Rd 23,1505 Co Rd 23,Florence,AL,35633,29,,,8.00%,"$1,899,000.00 ",No,-87.732637,34.814174
THE 10 on Hwy 21,1294 TX-21,Paige,TX,78659,,,,,"$499,000.00 ",No,-97.216447,30.158946
Old Woodville Road,Old Woodville Rd,Livingston,TX,77351,,,,,"$800,000.00 ",No,-94.92332806,30.71441196
Genesee Forest Estates,1806 E Webster Rd,Flint,MI,48505,252,"$9,127 ","$176,732.00 ",7.07%,"$2,500,000.00 ",No,-83.66590329,43.06575292
Bradshaw Sunset RV Park,352 W Bradshaw Rd,Springtown,TX,76082,64,"$22,021 ",,,"$1,321,250.00 ",No,-97.69537815,32.94574432
Reeves RV Park,2112 I-35,Cotulla,TX,78014,15,,"$36,000.00 ",7.21%,"$499,000.00 ",No,-99.25297254,28.41500039
Brewton Mobile Home Park,3672 US-29,Brewton,AL,36426,5,,,,"$150,000.00 ",No,-87.0011059,31.081134
Sunnyside Trailer Park,404 S Central Ave,Compton,CA,90220,16,,"$67,720.00 ",5.51%,"$1,230,000.00 ",No,-118.2508119,33.8926491
Myers MHC,222 Myers St,Hancock,MD,21750,6,"$75,000 ",,,"$415,000.00 ",No,-78.1897167,39.7036234
San Antonio RV Portfolio - Vista  Quail Ridge RV Park,721 4th St,Floresville,TX,78114,75,,,,"$1,900,000.00 ",No,NA,NA
Alpha Park,Reagan Dr,Eureka,IL,61530,18,"$28,947 ","$102,083.00 ",18.56%,"$550,000.00 ",No,-89.26819549,40.71219405
Oakwoods MHC,290 Ada Ct,Tallahassee,FL,32305,75,,"$118,367.00 ",,,No,-84.270528,30.388835
Pheasant Ridge Mobile Estates Redevelopment,7075 Clark Rd,Paradise,CA,95969,,"$9,800 ",,,"$656,600.00 ",No,-121.5874272,39.7908606
Mt Brock Estates,899 Air Force Rd,Tonopah,NV,89049,24,"$12,250 ",,,"$245,000.00 ",No,-117.2305073,38.0580783
1908 North State HWY 95,1908 State Hwy 95,Bastrop,TX,78602,2,,,,"$978,000.00 ",No,-97.3190599,30.23291
TeePee RV Park and Mini Storage,229 US-180,Seminole,TX,79360,30,,,,"$4,500,000.00 ",No,-102.633978,32.71024
Saltville Mobile Home Park,730 Burley Dr,Saltville,VA,24370,,,,,"$830,000.00 ",No,-81.722878,36.8672885
The Holloway Mobile Home Park,516 Silver Maple St,Fredericksburg,TX,78624,16,"$118,750 ",,,"$1,900,000.00 ",No,-98.8822348,30.2693805
689 Chamberlin - 74 Acres Dale,689 Chamberlin Rd,Dale,TX,78616,,,,,"$958,000.00 ",No,-97.5410937,29.9607124
Fort Myers Eco Park  Mobile Home  Duplex Investor,3411 Broadway,Fort Myers,FL,33901,,,"$78,000.00 ",7.81%,"$999,000.00 ",No,-81.8673134,26.61441243
Sunrise MHP,6131 AZ-90,Sierra Vista,AZ,85635,18,,"$48,018.00 ",7.68%,"$625,000.00 ",No,-110.2204419,31.5553291
Creekside Village,4 King Rd,Harpursville,NY,13787,36,,"$107,352.00 ",9.76%,"$1,100,000.00 ",No,-75.6306309,42.183054
Ilene's Place,35467 Co Rd 133,Fairview,MT,59221,,,,,"$750,000.00 ",No,-104.064643,47.835445
Harney Rd Mobile Homes,7213 Harney Rd,Tampa,FL,33617,4,,"$43,075.00 ",10.04%,"$429,000.00 ",No,-82.3743461,28.0159083
4791 Woodvery Dr A. Sherman,4791 Woodvery Dr,Liberty,NC,27298,,,,,,Yes,-79.6510528,35.8982648
Sawyers Rapids RV Resort,24828 OR-38,Elkton,OR,97436,40,"$43,750 ","$135,023.00 ",7.72%,"$1,750,000.00 ",No,-123.670364,43.681901
"14-Unit Multifamily Community in Lyons, CO",224 Seward St,Lyons,CO,80540,14,,"$117,187.00 ",6.70%,"$1,750,000.00 ",No,-105.2677743,40.22726245
ORANGEBURG MHP,697 Seawright St,Orangeburg,SC,29115,4,,"$4,103.00 ",6.84%,"$60,000.00 ",No,-80.8434459,33.5138967
MOBILE PARK - MULTIFAMILY - 241 Chauvin Place El Paso 79928,241 Chauvin Pl,El Paso,TX,79928,3,,,0.00%,"$495,000.00 ",No,-106.1639634,31.6899594
100 Odum Rd,100 Odom Rd,Americus,N/A,31719,0,,,0.00%,"$650,000.00 ",No,-84.2627186,32.0742494
99-Space MHC - Desirable Des Moines Metro - Ready for Infill,7368 NE Berwick Dr,Ankeny,IA,50021,99,,,,,No,-93.5486154,41.6927765
Live Oak Airport Tract,446 Paisano Dr,George West,TX,78022,,,,,"$350,000.00 ",No,-98.118744,28.368758
Birchtree Meadows Mobile Home Park,Route 182 Franklin Road,Hancock,ME,4640,42,"$90,476 ","$321,718.00 ",8.47%,"$3,800,000.00 ",No,-68.30945605,44.5456873
2627 Heavenly Dr. Estates,2617 Heavenly Dr,Marianna,FL,32448,5,,,,"$220,000.00 ",No,-85.29585768,30.75762297
"Oldtown, ID Waterfront Development Land","215 N Montana St, Oldtown, ID 83822",Oldtown,ID,83822,4,,,,"$905,000.00 ",No,-117.0357598,48.1826953
"18 ACRES in Kenedy, TX",US 181,Kenedy,TX,78119,,,,,"$346,000.00 ",No,-97.88678575,28.85571199
403 W 48th,403 W 48th St,Odessa,TX,79764,9,,,,"$229,000.00 ",No,-102.3920848,31.88776073
9.3 Acres - High Density  Mixed Use Land For Sale,33240 Ute Ave,Waukee,IA,50263,,,,,"$1,795,662.00 ",No,-93.8805987,41.5586165
Loring Woods MHP,149 Loring Commerce Rd,Limestone,ME,4750,17,"$6,389 ",,,"$345,000.00 ",Yes,-67.8699105,46.9215314
Alibi Ice House,9643 FM1409,Dayton,TX,77535,,,,,"$699,000.00 ",No,-94.834391,29.934545
304 Brady Road,304 Brady Rd,Americus,GA,31709,36,,"$57,510.00 ",7.20%,"$799,000.00 ",Yes,-84.1967327,32.0493382
Gold Fever RV Park  Resort,53874 US-60,Salome,AZ,85348,18,,"$65,903.00 ",14.65%,"$450,000.00 ",No,-113.8213603,33.7064926
Greyson Grove MHP,1319 Goldrock Rd,Rocky Mount,NC,27804,76,,"$237,925.00 ",5.60%,"$4,250,000.00 ",No,-77.8062045,36.0007435
Morris RV Park,17220 US-62,Morris,OK,74445,,,"$135,000.00 ",,"$2,300,000.00 ",No,-95.88684612,35.60974393
Southeast IA 2-Park Portfolio,115 S Oak St,Donnellson,IA,52625,13,"$13,462 ",,,"$175,000.00 ",No,NA,NA
Holbrook Mobile Home Park with Room for Expansion,1205 Navajo Blvd,Holbrook,AZ,86025,12,,,13.00%,"$200,000.00 ",No,-110.1573841,34.9110212
5 S Plum Creek,5 S Plum Creek Rd,Uhland,TX,78640,,,,,"$800,000.00 ",No,-97.7955977,29.9643234
652-658 Rabbit Run Rd.,658 Rabbit Run Rd,Aransas Pass,TX,78336,3,,,,"$665,000.00 ",No,-97.13911895,27.94752444
Paisley Mobile Home  RV Park,2601 Apollo St,Odessa,TX,79764,16,"$36,667 ","$47,556.00 ",8.65%,"$550,000.00 ",No,-102.4319812,31.92652103
Kerrville Income Property with Owner financing available,TBD,Kerrville,N/A,78028,5,"$197,000 ","$75,004.00 ",7.70%,"$985,000.00 ",No,-99.1403189,30.0474332
The West River Park,2132 VT-30,Jamaica,VT,5343,,,,,"$699,000.00 ",No,-72.7590435,43.085254
20.44 ACRES on South Highway 181,12460 S U.S. Hwy 181,San Antonio,TX,78223,,,,,"$1,950,000.00 ",No,-98.36455915,29.29495616
"3200 E Van Buren, Eureka Springs, AR 72756",3200 E Van Buren,Eureka Springs,AR,72632,,,,,"$525,000.00 ",No,-93.71182746,36.38885157
Lake Veiw RV park,S 600 Ln,Copeland,OK,74344,5,,,,"$189,000.00 ",No,-94.7986457,36.659899
Posadal Del Sol 55,28513 S Palm Ct Dr,Harlingen,TX,78552,,,"$88,940.00 ",3.42%,"$2,600,000.00 ",No,-97.7289445,26.1447454
Lunsford MHP,1015 Rhea Ave,Opp,AL,36467,67,,,,,No,-86.2724725,31.271953
Kenedy Commercial Land,Park Pl,Kenedy,TX,78119,,,,,"$575,000.00 ",No,-97.86760893,28.84046774
Mobile Home Park,39733 W 1510 Dr,Dewey,OK,74029,7,,"$39,215.00 ",8.71%,"$450,000.00 ",No,-95.918268,36.799455
Clarion Mobile Home Park,701 4th St NW,Clarion,IA,50525,10,"$27,500 ",,,"$275,000.00 ",No,-93.7377309,42.73747202
Mobile Home Park,536 S Main St,Pearson,GA,31642,8,,,,"$435,000.00 ",No,-82.85443292,31.29040605
Three Rivers MHP  RV Park,9685 US-90,Del Rio,TX,78840,73,"$10,274 ","$58,079.00 ",7.74%,"$750,000.00 ",No,-100.9757576,29.46094319
Eastview Mobile Home Park,750 E View Rd,Salisbury,NC,28146,15,"$50,000 ","$87,950.00 ",11.73%,"$750,000.00 ",No,-80.4679243,35.5780869
Commercial Building for Sale,9607 TX-114,Lubbock,TX,79407,,,,,"$400,000.00 ",No,-102.0288397,33.577203
"Trojan Way MHP - Troy, AL",208 Trojan Way,Troy,AL,36081,14,,"$23,100.00 ",5.14%,"$449,000.00 ",No,-85.9736802,31.8222354
Stagecoach RV Park 45 Spaces Hookups Cuero TX Dewitt Co.,1009 W Heaton St,Cuero,TX,77954,,"$15,222 ",,,"$685,000.00 ",No,-97.30248793,29.08703331
"""Pensacola House"" Communal Dwelling Facility",6200 W Fairfield Dr,Pensacola,FL,32506,16,"$28,119 ","$69,365.00 ",15.42%,"$449,900.00 ",No,-87.2976611,30.4321757
West Monroe Portfolio,319 Pink St,West Monroe,LA,71292,35,,,11.00%,"$825,000.00 ",No,NA,NA
Great Investment Opportunity,24 Privateroad 6051 Rd,Marion Center,PA,15759,,,,,"$115,000.00 ",No,-79.0419163,40.7487099
42 Acres Near Kerr Lake,1233 Burchette Rd,Manson,NC,27553,2,,,,"$375,000.00 ",No,NA,NA
Blue Spruce Mobile Estates Land Development,7035 Pentz Rd,Paradise,CA,95969,32,"$21,406 ",,,"$685,000.00 ",No,-121.5795917,39.79071102
Park-Model RV,126 Stoney Brook Dr,Cedar Creek,TX,78612,,,,,"$126,000.00 ",No,-97.4494497,30.1287705
Lifestyle Mobile Home RV Park,1851 Lossie Dr,Marianna,FL,32448,39,"$47,619 ",,10.00%,"$2,000,000.00 ",No,-85.1567773,30.6997538
The HUB,28313 US-27,Leesburg,FL,34748,41,"$73,171 ","$190,000.00 ",6.33%,"$3,000,000.00 ",No,-81.87967069,28.7601719
2401  2485 E. Main St,2401 & 2485 E. Main St,Cañon City,CO,81212,17,,"$118,075.00 ",8.14%,"$1,450,000.00 ",No,-105.2119162,38.4473491
Mystic Quarry Resort,13190 FM306,Canyon Lake,TX,78133,118,,,,"$8,300,000.00 ",No,-98.1770394,29.867935
All-Age Connecticut MHC,-,New Haven,CT,6501,50,,,7.25%,"$4,700,000.00 ",No,-72.9299465,41.309955
Splendora RV Park Investment,15977 1st Street,Splendora,TX,77372,,,,,"$1,100,000.00 ",No,-95.17576725,30.21310561
Yorktown Extended Stay Mobil Home Park,1500 TX-72,Yorktown,TX,78164,10,,"$167,823.00 ",17.21%,"$975,000.00 ",No,-97.54383643,28.97359215
"48-Pad Mobile Home Park for Sale in Mayfield, KY - 18 acres",94 Flood Rd,Mayfield,KY,42066,22,,,,"$1,500,000.00 ",No,-88.560634,36.685224
Vagabond MHC,3665 Cerrillos Rd,Santa Fe,NM,87507,39,,"$193,002.00 ",6.23%,"$3,100,000.00 ",No,-106.0075707,35.6457987
Livingston RV Park,11777 US-59,Livingston,TX,77351,,,,,"$1,094,900.00 ",No,-94.85505386,30.85383776
Country Crossroads,7588 Farm to Market Rd 1459,Sweeny,TX,77480,,,,,"$1,095,000.00 ",No,-95.690001,29.0900179
4580 E Rex Street,4580 E Rex St,Tucson,AZ,85706,10,,"$58,000.00 ",8.92%,"$650,000.00 ",Yes,-110.8940817,32.1395689
"744 North Kemp Street Kingston, OK 73439 Mobile Homes",744 N Kemp St,Kingston,OK,73439,6,,"$45,000.00 ",8.50%,"$529,411.00 ",No,-96.722104,34.0057699
Enterprise Mobile Home Park,3830 Rucker Blvd,Enterprise,AL,36330,,,,,"$1,260,000.00 ",No,-85.7811018,31.3368705
Investors and MHP Owners,195 Clayton James Rd,Jacksonville,NC,28540,,,,,,No,-77.5335183,34.7042439
Waterfront 3-Unit Portfolio at the Village at Potters Pond,689 Succotash Rd,South Kingstown,RI,2879,3,"$482,333 ","$42,814.00 ",2.96%,"$1,447,000.00 ",No,-71.52591842,41.38466066
Mobile Home Park in Elkhart Texas with 6 Units on 5.85 acres,162 County Rd 162,Elkhart,TX,75839,6,,,,"$250,000.00 ",No,-95.575718,31.641166
Stampede RV Park and Restaurant,18 W Allen St,Tombstone,AZ,85638,,"$39,726 ","$223,317.00 ",7.70%,"$2,900,000.00 ",No,-110.0722081,31.7138244
399 CR 201 Carancahua Blvd Income Producing RV Park,201 Carancahua St,Sargent,TX,77414,,,,,"$100,000.00 ",No,-95.6348706,28.7699959
914 Euclid Avenue,914 N Euclid Ave,Pierre,SD,57501,30,,,,"$1,200,000.00 ",No,-100.3482175,44.379327
Riverview Mobile Home Park,596 US-395,Gardnerville,NV,89410,50,,,,"$5,250,000.00 ",No,-119.5743485,38.7577157
Ayer's Resort at Lake Fork,3361 FM 17,Alba,TX,75410,9,"$55,444 ","$58,655.00 ",13.93%,"$499,000.00 ",No,-95.6309417,32.8488531
00 Sundale Lane Mobile Home Park,Sundale Ln,Lincolnton,NC,28092,6,,"$40,815.00 ",8.18%,"$499,000.00 ",No,-81.275978,35.4423076
Mountainview Development Opportunity,42 Old State Rte 52,Woodbourne,NY,12788,,,,,,No,-74.61182,41.7586
Peachtree Estates,127 Spanky Ave,Oglethorpe,GA,31068,55,"$45,455 ","$250,445.00 ",10.02%,"$2,500,000.00 ",Yes,-84.063293,32.312347
Roanoke RV Campground,-,Roanoke,VA,24104,60,,,10.76%,"$2,400,000.00 ",No,-79.4816378,37.1383561
Seven Oaks Mountain Resort,39950 7 Oaks Road,Angelus Oaks,CA,92305,,,,,"$6,700,000.00 ",No,-116.929851,34.180741
Commercial Sale Johns Island MHP,3621 State Rd S-10-1333,Johns Island,SC,29455,34,,,,"$5,995,000.00 ",No,-80.1070846,32.730687
5435 Lewellyn Road,5435 Lewellyn Road,Lakeland,FL,33810,46,,,,"$5,800,000.00 ",No,-82.0219494,28.1122249
Walnut Cove Marina,8767 TX-34,Quinlan,TX,75474,,,,,"$499,000.00 ",Yes,-96.1276068,32.9090925
Edgewater Resort,224 S Winding Way,Buchanan Dam,TX,78609,52,"$50,000 ",,,"$2,600,000.00 ",Yes,-98.4582314,30.7528278
Apache Acres MH  RV Park,2468 Running Bear Rd,Lakeside,AZ,85929,,,,,"$3,500,000.00 ",No,-109.990827,34.162942
2399 Highway 182 Bridgeport CA,2399 CA-182,Bridgeport,CA,93517,,,,,"$2,150,000.00 ",No,-119.2150882,38.2887386
Sunflower Meadows,205 SE 25th St,Topeka,KS,66605,49,,"$11,160.00 ",,"$7,800,000.00 ",No,-95.6771465,39.0216119
Kenedy Extended Stay,417 E Houston St,Kenedy,TX,78119,7,"$114,214 ","$71,085.00 ",8.89%,"$799,500.00 ",No,-97.84201011,28.81671049
"Mobile Home Park for Sale - 327 Holly Shelter, Jacksonville",327 Holly Shelter Rd,Jacksonville,NC,28540,10,$50 ,,,"$400,000.00 ",No,-77.545366,34.7218383
Valles Mobile Park,1447 Fatima Rd,Socorro,NM,87801,,,"$32,900.00 ",10.28%,"$320,000.00 ",No,-106.8974218,34.08618787
Cache Court MHP,1000 Madison St,Clarendon,AR,72029,37,"$22,222 ","$79,386.00 ",9.92%,"$800,000.00 ",No,-91.301946,34.6927975
Constance Beach RV,245 Kathy Dr,Cameron,LA,70631,,,,,"$135,000.00 ",No,-93.579768,29.759836
Lillian  Hobbs RV and Mobile Home Park Portfolio,4501 Lillian Hwy,Pensacola,FL,32506,28,"$34,821 ",,,"$975,000.00 ",No,NA,NA
Elk Creek Estates,802 S 3rd St,Grandview,TX,76050,33,,,,,No,-97.181444,32.2608779
201 Cunningham Boulevard,201 Cunningham Blvd,Anna,TX,75409,21,,,,"$1,950,000.00 ",No,-96.5506186,33.3375103
424 Industrial Ln,424 Industrial Ln,Pocatello,ID,83201,,,,,"$1,500,000.00 ",No,-112.4554917,42.9031779
Porter Rentals,342 Elberta Ave,Porter,OK,74454,,,,,"$235,000.00 ",No,-95.52087823,35.86784499
13759 Overseas Hwy. Marina,13759 Overseas Hwy,Marathon,FL,33050,3,,,,"$4,870,000.00 ",No,-81.0140914,24.7333788
River Run RV Village Development,91 Village Landing Dr,Marble,NC,28905,300,,,,,No,-83.9426698,35.162528
Interstate 10  SH 61,I-10,Hankamer,TX,77560,,,,,,No,-94.5808874,29.8375058
Brigham Village Mobile Home Community,410 N Main St,Brigham City,UT,84302,37,"$102,794 ","$189,023.00 ",5.41%,"$3,495,000.00 ",No,-112.014014,41.51958168
1307 E Snyder Street,1307 E Snyder St,Hobbs,NM,88240,,,,,"$375,000.00 ",No,-103.121594,32.703832
311 Thompson Rd,311 Thompson Rd,Madisonville,TN,37354,,,,,"$699,900.00 ",No,-84.41321,35.527113
Mobile Home Park in Deland FL,2395 N Woodland Blvd,DeLand,FL,32720,27,,"$191,018.00 ",9.10%,"$2,100,000.00 ",No,-81.31003989,29.07534014
"40 acre zoned W-2-10, for commercial, renewables, RV MHP.",Wiley's Well Road,Blythe,CA,92225,,,,,"$1,200,000.00 ",No,-114.8850114,33.5138026
20046 Joseph Ln.,20046 Joseph Ln,Land O' Lakes,FL,34638,12,,,,"$999,900.00 ",No,-82.4834159,28.2203046
Wyoming 5-MHC Portfolio,"Rawlins, WY USA",Rawlins,WY,82301,250,,,7.71%,"$16,900,000.00 ",No,-107.2386627,41.7910697
Artemis Meadows Mobile Home Park,13029 Yuba-Nevada Rd,Dobbins,CA,95962,,,,,"$390,000.00 ",No,-121.2256348,39.3473225
3748 Albert Pike Rd.,3748 Albert Pike Rd,Hot Springs,AR,71913,,,,,"$495,000.00 ",No,-93.1452055,34.5096287
Arcadia Mobile Home Park,5400 NY-31,Newark,NY,14513,31,"$29,839 ","$83,139.00 ",8.99%,"$925,000.00 ",Yes,-77.124274,43.049096
1003 West Bell Street,1003 W Bell St,Glendive,MT,59330,23,,,,"$435,000.00 ",No,-104.7262013,47.1053902
"Tavis, Front,  3rd - Rental Investment Property",212 Tavis Dr,Merlin,OR,97532,16,,,,"$1,999,999.00 ",No,-123.4201508,42.5213311
"Highway 1, 21.79 Acres",Highway 1 - Dixie Blanchard Rd,Shreveport,LA,71107,,,,,"$2,795,000.00 ",No,-93.8875032,32.6270734
TBD 6th Avenue,TBD 6th Avenue,Pierre,SD,57501,30,,,,"$1,500,000.00 ",No,-100.3470576,44.3803659
Searcy 23 pad MH Park,198 Oak Forrest Rd,Searcy,AR,72143,23,"$47,917 ","$134,111.00 ",11.25%,"$1,150,000.00 ",No,-91.7836543,35.2912273
Arkansas SFR Portfolio w Over 300 acres of land,727 Hattie Ln,Ward,AR,72176,125,"$79,200 ","$672,000.00 ",6.79%,"$9,900,000.00 ",No,-91.816765,35.015409
All Seasons Mobile Home  RV Park and Motel,12525 W Sunset Hwy,Airway Heights,WA,99001,51,,"$461,898.00 ",11.55%,"$3,999,000.00 ",Yes,-117.5844473,47.6417194
Spring Crossing Mobile Home Park,7320 New Sulphur Springs Rd,San Antonio,TX,78263,23,,,,"$1,878,160.00 ",No,-98.3456161,29.3559019
"Riverfront Mobile HomeRV Park, Tiny Homes, Single Family...",13395 N Indian River Dr,Sebastian,FL,32958,,,,,"$1,697,000.00 ",No,-80.47888064,27.83759519
Bingham Creek Oasis,24369 Bingham Creek Rd,Leander,TX,78641,11,,,,"$2,250,000.00 ",No,-97.94616971,30.61503334
Abilene Development Deal,158 Chapel Hill Rd,Abilene,TX,79605,206,"$6,500 ",,,"$1,339,000.00 ",No,-99.8146621,32.4511712
38 Ac Parcel Zoned MHP - Talladega,1501 Ashland Hwy,Talladega,AL,35160,,,,,,No,-86.07118992,33.42263115
"1054 Hwy 39, Ingram, TX 78025",1054 TX-39,Ingram,TX,78025,2,,,,"$1,895,000.00 ",No,-99.28850605,30.06983704
Mobile Home Park Development Downtown Spartanburg,1518 Farley Ave,Spartanburg,SC,29301,25,"$13,560 ",,,"$339,000.00 ",No,-81.960258,34.955665
"Target Range Trailer Court, Missoula MT",4022 South Ave W,Missoula,MT,59804,,,"$410,000.00 ",4.14%,"$9,900,000.00 ",No,-114.0797908,46.8499152
13350B Highway 105 - Mobile Home Park,13350B TX-105,Beaumont,TX,77713,,,,,"$1,750,000.00 ",No,-94.26657192,30.13474746
River's Edge RV Park  Merry Widow Health Mine,29 Frontage Rd,Basin,MT,59631,,,"$90,123.00 ",7.40%,"$2,400,000.00 ",No,-112.3722953,46.2853813
Condon RV Park,920 W Walnut St,Condon,OR,97823,,,"$47,992.00 ",9.62%,"$499,000.00 ",No,-120.1941433,45.23702639
501 Alice Drive,501 Alice Dr,Walden,NY,12586,,,,,"$49,900.00 ",No,-74.1501796,41.5265384
Hidden Acres RV Park and Storage,71 Will Evans Rd,Brownsville,TN,38012,78,,"$564,000.00 ",9.48%,"$5,950,000.00 ",No,-89.3332479,35.6524097
Lakeside Mobile Home Park,17004 E Lake Goodwin Rd,Stanwood,WA,98292,,,"$97,245.00 ",3.89%,"$2,499,000.00 ",No,-122.2857042,48.1504021
RLD-60 Investment Property,6200 Pickettville Rd,Jacksonville,FL,32254,18,,,,"$1,500,000.00 ",No,-81.754277,30.363442
1603 W Wetmore Rd,1603 W Wetmore Rd,Tucson,AZ,85705,8,,"$44,400.00 ",8.00%,"$575,000.00 ",No,-110.9995857,32.2864358
"3135 Lower Kula Road  Kula, Maui",3135 Lower Kula Rd,Kula,HI,96790,4,,,8.00%,"$4,950,000.00 ",No,-156.3255559,20.7759907
9 Unit Mobile Home Park on 16 Commercial Acres in Blacksburg,594 W Carolina St,Blacksburg,SC,29702,9,,"$43,910.00 ",9.24%,"$475,000.00 ",Yes,-81.53025007,35.11916263
Virginia 4 Property Portfolio,301 Givens Ln,Blacksburg,VA,24060,395,,,,,No,-80.4165828,37.2518694
Neflin Park,6831 Wire Rd,Zephyrhills,FL,33542,10,,"$122,000.00 ",11.09%,"$1,100,000.00 ",No,-82.1804449,28.2570954
Henderson Fish Camp,35 Henderson Rd,Lake Placid,FL,33852,44,"$54,717 ",,,"$2,900,000.00 ",No,-81.331325,27.3856264
1820 Lovely Oaks RV Park,10378 94th St,Live Oak,FL,32060,20,"$120,000 ","$239,125.00 ",9.96%,"$2,400,000.00 ",No,NA,NA
PD Canyon RV Park,Tradewind St,Amarillo,TX,79118,16,,,,"$500,000.00 ",No,-101.8299846,34.98161265
Little Star RV Park FULLY OCCUPIED  EASY REMOTE MANAGEMENT,1833 Hwy 2861,Comanche,TX,76442,,"$29,167 ",,,"$175,000.00 ",No,-98.502788,31.962373
RV Park,N Main St,Baytown,TX,77521,53,"$45,472 ",,,"$2,410,000.00 ",No,-94.97286753,29.8434511
"Attention Developers, Builders,  Investors Invest Florida",Perch St,Buckhead Ridge,FL,34974,,,,,"$1,400,000.00 ",No,-80.8743469,27.1459932
18055 County Rd G,18055 Co Rd G,Ordway,CO,81063,16,,"$237,108.00 ",10.31%,"$2,300,000.00 ",No,-103.7457106,38.21445591
White Oak RV Park,427503 Texanna Rd,Porum,OK,74455,8,,,,"$385,000.00 ",No,-95.4052942,35.3520325
